Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
D'Huison-Longueville,91590,Essonne,48.4552951,2.3227565,57.8,3 hours 9 mins,189,nan,,66.8,,54 mins,54,66.8,2 hours 20 mins,140,66.8,0.8083832335329342,,
Dannemois,91490,Essonne,48.4523501,2.4745199,53.9,2 hours 54 mins,174,nan,,58.7,,42 mins,42,58.7,2 hours 10 mins,130,58.7,0.7155025553662692,,
Dourdan,91410,Essonne,48.5291104,2.0153719,55.8,3 hours 11 mins,191,1 hour 17 mins,77,57.3,1.343804537521815,43 mins,43,57.3,1 hour 49 mins,109,57.3,0.7504363001745201,34.0,-32.0
Draveil,91210,Essonne,48.6788561,2.4245689,25.2,1 hour 22 mins,82,1 hour 12 mins,72,27.0,2.6666666666666665,29 mins,29,27.0,1 hour 41 mins,101,27.0,1.0740740740740742,43.0,-29.0
Écharcon,91540,Essonne,48.56984600000001,2.4046583,41.7,2 hours 18 mins,138,nan,,42.6,,35 mins,35,42.6,2 hours 2 mins,122,42.6,0.8215962441314554,,
Égly,91520,Essonne,48.5801907,2.2189868,38.5,2 hours 18 mins,138,1 hour 2 mins,62,38.6,1.6062176165803108,35 mins,35,38.6,1 hour 52 mins,112,38.6,0.9067357512953368,27.0,-50.0
Épinay-sous-Sénart,91860,Essonne,48.6892232,2.5126177,27.7,1 hour 35 mins,95,1 hour 1 min,61,28.2,2.1631205673758864,33 mins,33,28.2,1 hour 44 mins,104,28.2,1.1702127659574468,28.0,-43.0
Épinay-sur-Orge,91360,Essonne,48.6727569,2.3242911,25.1,1 hour 30 mins,90,34 mins,34,27.4,1.2408759124087592,26 mins,26,27.4,1 hour 24 mins,84,27.4,0.9489051094890512,8.0,-50.0
Étampes,91150,Essonne,48.4342943,2.1612626,57.6,3 hours 24 mins,204,1 hour 11 mins,71,55.0,1.290909090909091,45 mins,45,55.0,2 hours 0 mins,120,55.0,0.8181818181818182,26.0,-49.0
Étiolles,91450,Essonne,48.6368135,2.4715776,30.7,1 hour 41 mins,101,1 hour 17 mins,77,41.5,1.855421686746988,33 mins,33,41.5,1 hour 59 mins,119,41.5,0.7951807228915663,44.0,-42.0
Étréchy,91580,Essonne,48.493416,2.1905354,51.5,2 hours 58 mins,178,1 hour 5 mins,65,47.6,1.365546218487395,40 mins,40,47.6,1 hour 55 mins,115,47.6,0.8403361344537815,25.0,-50.0
Évry-Courcouronnes(préfecture),91000,Essonne,48.6288788,2.436649,31.5,1 hour 43 mins,103,nan,,32.0,,28 mins,28,32.0,1 hour 39 mins,99,32.0,0.875,,
Fleury-Mérogis,91700,Essonne,48.635033,2.365441,67.6,3 hours 50 mins,230,nan,,64.2,,51 mins,51,64.2,2 hours 6 mins,126,64.2,0.794392523364486,,
Fontaine-la-Rivière,91690,Essonne,48.3583617,2.1520644,45.4,2 hours 32 mins,152,nan,,46.4,,40 mins,40,46.4,2 hours 8 mins,128,46.4,0.8620689655172414,,
Fontenay-le-Vicomte,91540,Essonne,48.54728,2.39973,39.3,2 hours 13 mins,133,nan,,41.5,,37 mins,37,41.5,1 hour 54 mins,114,41.5,0.891566265060241,,
Fontenay-lès-Briis,91640,Essonne,48.6294066,2.1361592,43.9,2 hours 31 mins,151,nan,,43.5,,39 mins,39,43.5,1 hour 50 mins,110,43.5,0.896551724137931,,
Forges-les-Bains,91470,Essonne,48.628108,2.0985323,26.9,1 hour 43 mins,103,nan,,30.6,,33 mins,33,30.6,1 hour 44 mins,104,30.6,1.0784313725490196,,
Gif-sur-Yvette,91190,Essonne,48.715729,2.129881,66.8,3 hours 39 mins,219,1 hour 39 mins,99,71.3,1.388499298737728,52 mins,52,71.3,2 hours 19 mins,139,71.3,0.729312762973352,47.0,-40.0
Gironville-sur-Essonne,91720,Essonne,48.3725792,2.3803169,33.2,1 hour 56 mins,116,nan,,37.5,,33 mins,33,37.5,1 hour 41 mins,101,37.5,0.88,,
Gometz-la-Ville,91400,Essonne,48.6714496,2.1268718,32.0,1 hour 53 mins,113,nan,,35.2,,31 mins,31,35.2,1 hour 35 mins,95,35.2,0.8806818181818181,,
Gometz-le-Châtel,91940,Essonne,48.6741988,2.1456266,28.8,1 hour 35 mins,95,57 mins,57,30.5,1.8688524590163935,27 mins,27,30.5,1 hour 36 mins,96,30.5,0.8852459016393442,30.0,-39.0
